ENCP0203;BANCO DE DADOS;6;OPTATIVA
ENCP0204;PARADIGMAS DE PROGRAMACAO;6;OPTATIVA
BICT0021;EQUACOES ORDINARIAS ;4;OBRIGATORIA
BICT0213;CALCULO INTEGRAL;4;OBRIGATORIA
ENCP0032;INTELIGENCIA ARTIFICIAL;4;OPTATIVA
